Month of Data Date,State On/Off ,Index,Game Name,Parent Supplier,Game Category,"Month, Year of OGPD Release Date",Casinos (Sites),Avg. Average Bet,Median Avg Bet,Avg. Games Played Index,Avg. Coin In Index,Theo Win Index,Avg. Theo Win Index Game Category,% of Total GGR
,,"2,833",Savannah Pride,Evolution,Slot,"May, 2025",26,$1.68,$0.93,0.07,0.0,0.08,0.09,0.00%
,,"2,834",Tiger And Jewel,Greentube,Slot,"November, 2024",13,$1.35,$1.04,0.11,0.1,0.08,0.09,0.00%
,,"2,835",Crabbin Crazy 2,Igt,Slot,"March, 2024",2,$1.82,$1.82,0.06,0.1,0.08,0.09,0.00%
,,"2,836",Ace Ventura Ultranudge,Light & Wonder,Slot,"September, 2025",4,$1.34,$1.25,0.13,0.1,0.08,0.09,0.00%
,,"2,837",Red Silk,Ags,Slot,"March, 2021",19,$2.02,$1.26,0.08,0.1,0.08,0.09,0.00%
,,"2,838",Gladiatoro,Light & Wonder,Slot,"December, 2024",9,$2.01,$2.14,0.13,0.1,0.08,0.09,0.00%
,,"2,839",Money Maker,Greentube,Slot,"July, 2023",10,$1.36,$1.07,0.11,0.1,0.08,0.09,0.00%
,,"2,840",Basketball Star On Fire,Games Global,Slot,"September, 2021",20,$1.29,$1.20,0.10,0.1,0.08,0.09,0.00%
,,"2,841",Fionas Fortune,Games Global,Slot,"June, 2022",8,$1.01,$0.96,0.20,0.1,0.08,0.09,0.00%
,,"2,842",Mine Blown,Evolution,Slot,"May, 2025",15,$1.91,$0.65,0.04,0.1,0.08,0.09,0.00%
,,"2,843",Slingo Fortunes,Gaming Realms,Slot,"March, 2021",11,$14.62,$6.23,0.02,0.1,0.08,0.09,0.00%
,,"2,844",Expanding 10x Minimum,Spinberry,Slot,"February, 2024",9,$1.21,$1.17,0.26,0.1,0.08,0.09,0.00%
,,"2,845",Gods Of Gold Infinireels,Evolution,Slot,"March, 2021",5,$2.06,$1.01,0.07,0.1,0.08,0.09,0.00%
,,"2,846",Fruitopolis Fortune Play,White Hat Studios,Slot,"January, 2023",5,$1.74,$1.33,0.07,0.1,0.08,0.09,0.00%
,,"2,847",Dead Or Alive 2,Evolution,Slot,"March, 2021",7,$0.59,$0.50,0.98,0.1,0.08,0.09,0.00%
,,"2,848",Hammer Fall,Play N Go,Slot,"January, 2025",2,$0.64,$0.64,0.82,0.1,0.08,0.09,0.00%
,,"2,849",Golfing Glory,Bragg Gaming Group,Crash,"October, 2025",9,$3.96,$3.14,0.03,0.1,0.08,0.05,0.00%
,,"2,850",Bronco Big Bounty,Games Global,Slot,"August, 2024",7,$1.83,$1.28,0.10,0.1,0.08,0.09,0.00%
,,"2,851",Rich Wilde And The Pearls Of Vishnu,Play N Go,Slot,"April, 2025",15,$1.18,$1.10,0.14,0.1,0.08,0.09,0.00%
,,"2,852",Cai Fu Yun Lion,Aruze,Slot,"June, 2023",6,$1.61,$1.61,0.14,0.1,0.08,0.09,0.00%
,,"2,853",Pearl River,Ainsworth,Slot,"May, 2021",6,$2.64,$1.74,0.07,0.1,0.08,0.09,0.00%
,,"2,854",Golden Knight Infinity,High 5 Games,Slot,"March, 2024",21,$3.28,$0.67,0.06,0.1,0.08,0.09,0.00%
