Month of Data Date,State On/Off ,Index,Game Name,Parent Supplier,Game Category,"Month, Year of OGPD Release Date",Casinos (Sites),Avg. Average Bet,Median Avg Bet,Avg. Games Played Index,Avg. Coin In Index,Theo Win Index,Avg. Theo Win Index Game Category,% of Total GGR
,,209,Secrets Of The Phoenix Blaze,Aristocrat,Slot,"June, 2025",4,$2.72,$2.53,1.56,1.6,3.12,3.41,0.02%
,,210,Blackjack Poker And Pairs With Surrender,Igt,Table Game,"June, 2023",23,$40.93,$19.42,0.81,11.2,3.07,1.22,0.13%
,,211,Thunder Cash Sizzling Hot,Greentube,Slot,"May, 2022",18,$3.31,$1.85,1.53,2.6,3.06,3.35,0.06%
,,212,Liberty Diamond,Ags,Slot,"October, 2024",30,$2.49,$1.65,1.16,1.9,3.05,3.34,0.10%
,,213,Starburst,Evolution,Slot,"March, 2021",32,$1.05,$1.00,7.51,2.4,3.05,3.34,0.11%
,,214,Thunder Cash Dolphins Pearl,Greentube,Slot,"November, 2022",20,$3.04,$2.71,1.61,2.7,3.05,3.34,0.10%
,,215,Bonus Island,Inspired,Slot,"April, 2021",8,$4.39,$2.02,0.47,3.1,3.04,3.33,0.01%
,,216,Gold Megaways,Evolution,Slot,"November, 2022",9,$0.86,$0.56,9.11,3.5,3.01,3.30,0.04%
,,217,Three Card Poker,Light & Wonder,Table Game,"March, 2021",18,$12.44,$9.66,1.21,4.9,3.01,1.19,0.08%
,,218,Dragons Of Arcane Wild,Games Global,Slot,"August, 2025",22,$1.26,$1.19,4.68,2.1,3.01,3.29,0.12%
,,219,Zeus 2,Light & Wonder,Slot,"March, 2021",21,$6.14,$1.89,0.61,3.4,3.01,3.29,0.02%
,,220,Ultimate Fire Link Cash Falls China Street,Light & Wonder,Slot,"September, 2023",33,$1.46,$1.36,4.21,2.2,3.00,3.28,0.16%
,,221,Wheel Of Fortune Triple Extreme Spin,Igt,Slot,"March, 2021",32,$2.96,$2.71,1.77,2.0,2.99,3.28,0.15%
,,222,Egglink Chicken Fox,Light & Wonder,Slot,"August, 2024",29,$2.26,$1.72,2.37,2.6,2.99,3.27,0.11%
,,223,Triple Double Da Vinci Diamonds,High 5 Games,Slot,"March, 2021",19,$4.80,$2.71,0.96,2.6,2.94,3.22,0.08%
,,224,Diamond Reels,Ags,Slot,"January, 2025",30,$2.02,$1.63,1.90,1.8,2.92,3.20,0.07%
,,225,Secrets Of The Phoenix,Aristocrat,Slot,"November, 2023",9,$3.10,$1.51,2.79,1.8,2.88,3.15,0.03%
,,226,Divine Fortune Black,Evolution,Slot,"May, 2025",32,$2.69,$1.65,2.04,2.2,2.88,3.15,0.09%
,,227,Golden Winner,Inspired,Slot,"January, 2024",24,$1.74,$1.13,2.22,2.0,2.87,3.14,0.04%
,,228,Blackjack Players Choice,White Hat Studios,Table Game,"August, 2022",25,$17.92,$13.48,1.31,8.3,2.84,1.13,0.05%
,,229,Triple Play Draw Poker,Igt,Video Poker,"March, 2021",33,$4.83,$3.52,2.10,4.2,2.84,1.99,0.10%
,,230,Sapphire Sorceress,Aristocrat,Slot,"April, 2024",6,$11.36,$1.70,0.25,1.4,2.84,3.10,0.03%
,,231,Buffalo Of Wealth,Play N Go,Slot,"October, 2025",7,$1.03,$1.14,4.69,2.0,2.81,3.08,0.02%
,,232,Cash Eruption Red Hot Joker,Igt,Slot,"May, 2025",33,$2.38,$1.53,1.70,1.8,2.78,3.05,0.09%
,,233,Big Bucks Bandits Megaways,Reel Play,Slot,"May, 2021",30,$1.85,$1.48,4.19,3.1,2.77,3.04,0.09%
,,234,Kingfisher Rising,Games Global,Slot,"October, 2025",22,$1.49,$1.44,3.29,2.0,2.77,3.03,0.09%
,,235,Enchanted Wolf Rising Rewards,Games Global,Slot,"October, 2025",22,$1.29,$1.27,3.48,1.9,2.73,2.99,0.14%
,,236,Long Bao Bao,Ags,Slot,"September, 2025",27,$1.93,$1.80,3.28,2.3,2.70,2.96,0.08%
,,237,Piggy Riches 3 Hog Heaven,Evolution,Slot,"October, 2025",29,$2.45,$1.79,2.93,2.0,2.70,2.96,0.08%
,,238,Tiger And Dragon Cash On Reels,Igt,Slot,"September, 2025",11,$2.02,$1.79,2.95,1.9,2.70,2.95,0.04%
,,239,Gobble Gobble Gobble Megaways,Evolution,Slot,"November, 2025",13,$1.06,$0.95,4.98,1.7,2.68,2.94,0.04%
,,240,Prize Piggy Win And Spin,Inspired,Slot,"March, 2025",25,$1.10,$0.88,9.91,2.1,2.68,2.93,0.04%
,,241,First Person Roulette,Evolution,Live Casino,"June, 2021",23,$20.86,$10.76,0.18,2.3,2.67,0.72,0.04%
,,242,Triple Monkey,High 5 Games,Slot,"June, 2021",6,$3.56,$1.18,0.14,3.3,2.67,2.93,0.03%
,,243,3 Cheeky Chimps,1x2 Network,Slot,"November, 2025",5,$0.97,$1.04,3.40,2.0,2.63,2.88,0.03%
,,244,Banana Rush,Play N Go,Slot,"November, 2025",6,$0.97,$0.90,4.13,1.8,2.63,2.88,0.02%
,,245,Big City 5s,Igt,Slot,"January, 2023",22,$1.46,$1.22,2.97,2.2,2.62,2.87,0.05%
,,246,Diamond Cash Mighty Viking,Greentube,Slot,"March, 2025",3,$7.45,$1.96,0.62,2.1,2.62,2.86,0.00%
,,247,Porkin Cashpots Combo Frenzy Jackpot Royale,White Hat Studios,Slot,"April, 2025",28,$1.93,$1.65,2.66,2.0,2.61,2.85,0.14%
,,248,Dancing Drums Link,Light & Wonder,Slot,"June, 2025",30,$1.78,$1.64,2.78,1.8,2.60,2.85,0.11%
,,249,Blood Suckers,Evolution,Slot,"March, 2021",31,$2.05,$1.48,1.65,2.8,2.59,2.83,0.05%
,,250,Triple Jackpot Gems,Everi,Slot,"June, 2022",25,$4.58,$4.57,1.93,2.2,2.59,2.83,0.11%
,,251,5 Star Coins Hold And Win,Octoplay,Slot,"September, 2025",5,$1.74,$1.77,3.24,2.0,2.58,2.82,0.01%
,,252,Gold Standard Jackpots,Everi,Slot,"May, 2023",26,$10.15,$9.92,0.54,2.0,2.58,2.82,0.10%
,,253,Diamond Inferno,Games Global,Slot,"August, 2021",22,$2.34,$1.72,2.16,2.8,2.56,2.80,0.12%
,,254,Lightning Gorilla 2 Maximum Boltage Xmas,Light & Wonder,Slot,"November, 2025",21,$1.61,$1.42,2.62,1.8,2.55,2.80,0.10%
,,255,Double Cash Spinner,Inspired,Slot,"March, 2022",25,$1.29,$1.07,2.73,1.7,2.55,2.79,0.08%
,,256,Wild Turkey Megaways,Evolution,Slot,"January, 2024",15,$1.05,$0.98,2.07,1.4,2.54,2.78,0.02%
,,257,The Walking Dead Collect Em,Playtech,Slot,"September, 2024",18,$1.60,$1.40,3.02,2.1,2.52,2.75,0.07%
,,258,Five Play Draw Poker,Igt,Video Poker,"March, 2021",33,$10.13,$6.88,0.80,4.5,2.51,1.76,0.07%
,,259,Coin Strike Hold And Win,Playson,Slot,"July, 2025",5,$1.25,$1.35,5.68,2.4,2.50,2.74,0.02%
,,260,Prosperity Link Wan Shi Ru Yi,Igt,Slot,"July, 2024",27,$3.41,$2.90,1.23,1.7,2.50,2.74,0.08%
,,261,Triple Coin Treasures Shamrock Fortunes,Ags,Slot,"August, 2025",30,$1.92,$1.79,2.06,1.7,2.49,2.73,0.06%
,,262,Lightning Box Keno,Light & Wonder,Bingo/Keno,"June, 2023",24,$1.93,$2.06,2.75,2.7,2.49,2.33,0.06%
,,263,Dragon Power Super Orbs,Bragg Gaming Group,Slot,"January, 2025",22,$2.82,$1.69,0.60,2.2,2.48,2.71,0.04%
,,264,Cash Flip Medusa,Games Global,Slot,"June, 2025",19,$1.84,$1.44,2.93,1.8,2.47,2.71,0.08%
,,265,Rakin Bacon,Ags,Slot,"March, 2021",30,$1.98,$1.82,2.71,2.5,2.47,2.70,0.11%
,,266,Free Bet Blackjack,Evolution,Table Game,"August, 2022",9,$26.88,$25.06,0.51,5.3,2.45,0.97,0.02%
,,267,Ultimate X Poker Triple Play,Igt,Video Poker,"August, 2021",29,$3.04,$2.92,3.56,4.2,2.43,1.70,0.12%
,,268,Double Jackpot Gems,Everi,Slot,"November, 2021",25,$7.16,$6.25,0.78,2.3,2.41,2.64,0.10%
,,269,Splash Of Gold,Games Global,Slot,"August, 2025",19,$2.27,$1.47,3.76,2.0,2.41,2.64,0.07%
,,270,Bass Cash Deluxe,Games Global,Slot,"September, 2025",22,$1.55,$1.44,2.86,1.8,2.40,2.63,0.09%
,,271,Free Bet Blackjack,Evolution,Live Casino,"August, 2022",20,$27.42,$23.77,0.84,8.2,2.39,0.65,0.08%
,,272,Starburst Galaxy,Evolution,Slot,"February, 2025",31,$2.00,$1.69,2.55,1.8,2.39,2.62,0.10%
,,273,Prosperity Gems Hold And Win,Igt,Slot,"October, 2024",25,$2.71,$1.22,0.35,2.3,2.39,2.61,0.04%
,,274,100x Fortune,Design Works Gaming,Slot,"May, 2025",22,$1.55,$1.28,1.76,1.6,2.38,2.60,0.07%
,,275,Kitty Glitter Grand,Igt,Slot,"August, 2025",32,$2.58,$1.84,1.26,1.5,2.38,2.60,0.05%
,,276,Divine Fortune Megaways,Evolution,Slot,"March, 2021",32,$1.52,$1.26,4.39,2.5,2.36,2.58,0.07%
,,277,Bloody Murder,Evolution,Slot,"September, 2025",27,$1.45,$1.34,2.98,1.6,2.35,2.58,0.08%
,,278,Mississippi Stud,Light & Wonder,Table Game,"March, 2021",18,$15.54,$15.39,1.43,6.2,2.35,0.93,0.04%
,,279,European Roulette,Evolution,Table Game,"March, 2021",22,$28.98,$22.70,0.28,3.1,2.35,0.93,0.07%
,,280,Piggy Payouts 2 Pig Out Luckytap ™,Design Works Gaming,Instant Win,"November, 2025",16,$1.88,$1.81,2.03,1.5,2.34,4.36,0.06%
,,281,Blazin Bank Run,Ags,Slot,"September, 2025",30,$1.19,$1.05,3.93,1.9,2.34,2.56,0.08%
,,282,Immortal Romance Vein Of Gold,Games Global,Slot,"October, 2025",19,$1.50,$1.31,2.91,1.6,2.32,2.54,0.07%
,,283,Rick And Morty Strike Back Jackpot Royale Express,White Hat Studios,Slot,"March, 2025",19,$1.20,$1.10,3.91,1.7,2.32,2.54,0.04%
,,284,Mad Mad Monkey,Light & Wonder,Slot,"March, 2021",28,$1.39,$1.09,2.48,2.1,2.32,2.54,0.05%
,,285,Live Dealer Ultimate Texas Hold Em,Evolution,Live Casino,"March, 2021",32,$35.90,$31.36,0.59,5.7,2.32,0.62,0.08%
,,286,Ez Baccarat,Evolution,Table Game,"October, 2025",4,$62.85,$66.86,0.25,5.9,2.30,0.91,0.01%
,,287,Amazing Catch Power Combo,Games Global,Slot,"May, 2025",8,$1.64,$1.43,2.85,1.7,2.30,2.52,0.04%
,,288,Ryze,Light & Wonder,Slot,"August, 2025",10,$9.59,$3.43,0.34,1.6,2.28,2.50,0.04%
,,289,Gold Blitz,Games Global,Slot,"February, 2023",22,$1.83,$1.33,2.50,1.6,2.27,2.48,0.09%
,,290,Baccarat,Aristocrat,Table Game,"December, 2024",3,$48.81,$11.59,0.57,8.0,2.26,0.90,0.01%
,,291,Blazing Bison Gold Blitz,Games Global,Slot,"October, 2023",22,$1.65,$1.45,2.49,1.6,2.24,2.45,0.09%
,,292,Almighty Buffalo Megaways,White Hat Studios,Slot,"July, 2022",26,$2.14,$1.47,3.61,2.5,2.23,2.44,0.10%
,,293,Money Blast Quick Strike,Konami,Slot,"June, 2025",19,$1.17,$1.03,1.58,1.7,2.23,2.44,0.01%
,,294,Quick Hit Ultra Pays Sun Dragon,Light & Wonder,Slot,"March, 2021",18,$4.44,$2.82,1.12,2.2,2.21,2.42,0.04%
,,295,Burn In Hell Hold And Win,1x2 Network,Slot,"October, 2025",5,$1.13,$1.28,4.19,1.9,2.21,2.42,0.02%
,,296,Megajackpots Fortune Coin,Igt,Slot,"September, 2024",13,$3.45,$1.83,1.08,1.1,2.21,2.42,0.06%
,,297,Assassin Moon,Games Global,Slot,"August, 2021",22,$1.54,$1.36,3.30,2.0,2.20,2.41,0.07%
,,298,Slingo Da Vinci Diamonds,Gaming Realms,Slot,"June, 2022",29,$9.84,$9.13,1.77,2.5,2.19,2.40,0.11%
,,299,9 Masks Of Fire,Games Global,Slot,"August, 2021",22,$2.83,$1.80,1.56,2.4,2.18,2.39,0.07%
,,300,Vip Studio Blackjack,Evolution,Live Casino,"May, 2025",5,$259.80,$240.75,0.97,12.3,2.18,0.59,0.01%
,,301,Temple Tumble,Relax Gaming,Slot,"February, 2024",12,$1.52,$0.87,2.47,2.2,2.18,2.38,0.06%
,,302,Santa Surprise,Playtech,Slot,"August, 2021",7,$1.40,$1.01,3.31,1.5,2.17,2.37,0.02%
,,303,The Goonies,White Hat Studios,Slot,"December, 2022",29,$5.62,$1.50,1.26,2.4,2.16,2.37,0.06%
,,304,Slingo Rakin Bacon,Gaming Realms,Slot,"January, 2023",24,$13.58,$11.73,1.07,2.1,2.16,2.36,0.09%
,,305,Magnificent Power Gold,Games Global,Slot,"September, 2025",19,$1.26,$1.30,2.93,1.6,2.16,2.36,0.09%
,,306,All Aboard Dynamite Dash,Konami,Slot,"August, 2021",25,$3.07,$2.36,1.79,1.9,2.15,2.36,0.09%
,,307,Classic Bet Stacker Blackjack,Evolution,Live Casino,"September, 2025",6,$82.67,$61.18,0.58,9.7,2.15,0.58,0.01%
,,308,Triple Double Patriot,Everi,Slot,"September, 2023",25,$15.43,$4.77,0.61,2.0,2.14,2.35,0.09%
,,309,Multihand Blackjack,Igt,Table Game,"March, 2021",18,$61.63,$23.29,0.58,11.4,2.14,0.85,0.04%
,,310,Buffalo Gold Revolution,Aristocrat,Slot,"October, 2024",14,$2.25,$2.11,1.99,1.7,2.14,2.34,0.04%
,,311,Almighty Buffalo Megaways Jackpot Royale,White Hat Studios,Slot,"January, 2023",31,$2.14,$2.01,2.70,2.6,2.13,2.33,0.13%
,,312,Prosperity Link Cai Yun Heng Tong,Igt,Slot,"January, 2025",28,$2.60,$2.28,1.26,1.5,2.12,2.32,0.10%
,,313,Triple Treasure,Ags,Slot,"September, 2024",30,$1.51,$1.51,1.75,1.4,2.12,2.32,0.12%
,,314,Easy Blackjack,Evolution,Table Game,"May, 2025",5,$18.43,$19.35,0.17,1.2,2.11,0.84,0.01%
,,315,Ultimate Fire Link Cash Falls By The Bay,Light & Wonder,Slot,"July, 2025",29,$1.53,$1.49,2.27,1.5,2.11,2.31,0.09%
,,316,Mines,Hacksaw Gaming,Lottery,"September, 2023",11,$6.87,$7.02,0.70,1.8,2.11,1.50,0.02%
,,317,Triple Jackpot Gems Deluxe,Everi,Slot,"July, 2025",17,$36.91,$28.16,0.13,2.2,2.11,2.31,0.07%
,,318,Finn And The Swirly Spin,Evolution,Slot,"March, 2021",32,$1.49,$1.13,4.19,2.4,2.11,2.31,0.09%
,,319,Medusa Megaways,Light & Wonder,Slot,"March, 2021",14,$3.05,$2.53,2.91,2.1,2.11,2.31,0.02%
,,320,12 Coins Grand Gold Edition,Wazdan,Slot,"November, 2025",2,$1.31,$1.31,3.34,2.2,2.10,2.30,0.01%
,,321,Jumanji,Evolution,Slot,"March, 2021",32,$1.41,$1.17,4.37,2.2,2.10,2.30,0.07%
,,322,Dragon Power Triple Gold,Bragg Gaming Group,Slot,"March, 2025",23,$2.06,$1.83,1.87,1.5,2.10,2.30,0.08%
,,323,Thundering Shenlong,Light & Wonder,Slot,"February, 2024",29,$2.70,$2.40,1.53,1.8,2.08,2.27,0.07%
,,324,The Walking Dead,Playtech,Slot,"August, 2025",18,$1.20,$1.23,2.91,1.6,2.07,2.27,0.08%
,,325,Thundering Box Keno,Light & Wonder,Bingo/Keno,"June, 2025",17,$2.53,$2.10,1.35,1.8,2.06,1.93,0.04%
,,326,Cash Express Luxury Line Buffalo,Aristocrat,Slot,"June, 2025",9,$2.09,$2.05,1.90,1.4,2.06,2.25,0.03%
,,327,Crystal Star Deluxe,Everi,Slot,"March, 2024",23,$19.21,$10.07,0.37,1.6,2.06,2.25,0.07%
,,328,Black Diamond Platinum,Everi,Slot,"April, 2023",23,$6.21,$6.28,0.70,1.6,2.05,2.25,0.06%
,,329,Piggy Winner,Inspired,Slot,"May, 2025",23,$1.27,$1.09,2.76,1.5,2.05,2.24,0.06%
,,330,Big Money Frenzy,White Hat Studios,Slot,"December, 2022",28,$1.94,$1.62,2.13,1.7,2.03,2.22,0.12%
,,331,Double Jackpot Gems Grand Wheel,Everi,Slot,"April, 2025",25,$8.40,$7.82,0.47,1.4,2.02,2.22,0.10%
,,332,Azteca Collect Em,Playtech,Slot,"September, 2024",20,$2.45,$1.38,1.04,2.8,2.02,2.22,0.01%
,,333,Wheel Of Fortune Gold Spin Triple Red Hot 7s,Igt,Slot,"February, 2024",9,$3.38,$4.03,0.72,1.0,2.02,2.21,0.02%
,,334,Christmas Prize Pooch,Inspired,Slot,"October, 2025",22,$1.31,$1.07,2.34,1.3,2.02,2.21,0.07%
,,335,Lucky 88,Aristocrat,Slot,"September, 2024",5,$4.40,$2.03,1.06,1.7,2.01,2.20,0.01%
,,336,Doctor Love On Vacation,Light & Wonder,Slot,"March, 2021",3,$1.37,$1.02,1.90,1.6,2.01,2.20,0.00%
,,337,Ultra Blazing Fire Link India,Light & Wonder,Slot,"April, 2022",7,$1.56,$1.56,2.92,2.1,2.00,2.19,0.02%
,,338,Thunder Cash Charming Lady,Greentube,Slot,"July, 2022",15,$2.94,$2.24,1.12,1.7,2.00,2.19,0.02%
,,339,Jackpot Carnival The Power Of 88,Aristocrat,Slot,"September, 2025",10,$1.87,$1.76,2.03,1.4,1.99,2.18,0.02%
,,340,Cash Eruption Hephaestus,Igt,Slot,"August, 2024",33,$1.72,$1.43,2.08,1.4,1.99,2.17,0.09%
,,341,Triple Jelly,Ags,Slot,"April, 2025",30,$1.06,$0.77,2.60,1.4,1.98,2.17,0.10%
,,342,Slingo Extreme,Gaming Realms,Slot,"March, 2021",27,$10.78,$6.35,0.83,1.7,1.98,2.16,0.04%
,,343,Jekyllz Wild Ultranudge,Bang Bang Games,Slot,"October, 2025",14,$1.51,$1.31,2.20,1.4,1.97,2.16,0.05%
,,344,Lightning Shenlong,Light & Wonder,Slot,"October, 2021",33,$3.09,$2.74,1.44,2.1,1.97,2.16,0.09%
,,345,Zeus Gold Blitz Fortune Tower,Games Global,Slot,"September, 2025",22,$1.39,$1.32,2.74,1.5,1.97,2.16,0.08%
,,346,3 Sparkling Pearls,Rising Digital,Slot,"August, 2025",2,$1.78,$1.78,3.55,1.9,1.97,2.16,0.01%
,,347,Monopoly Megaways,Light & Wonder,Slot,"March, 2021",21,$1.31,$1.15,3.54,2.2,1.95,2.13,0.04%
,,348,Greek Lightning,Bragg Gaming Group,Slot,"November, 2025",14,$1.30,$1.27,2.47,1.3,1.95,2.13,0.06%
,,349,Live Dealer Blackjack,Evolution,Live Casino,"March, 2021",26,$56.22,$55.70,1.85,8.6,1.95,0.52,0.06%
,,350,Let It Ride,Light & Wonder,Table Game,"March, 2021",24,$14.44,$13.94,0.48,2.2,1.95,0.77,0.09%
,,351,First Person Lightning Dice,Evolution,Table Game,"September, 2023",7,$22.04,$14.39,0.32,2.0,1.94,0.77,0.01%
,,352,Gold Blitz Extreme,Games Global,Slot,"February, 2024",22,$1.35,$1.23,2.77,1.4,1.94,2.13,0.08%
,,353,Irish Eyes 2,Light & Wonder,Slot,"March, 2021",7,$2.65,$2.37,0.88,1.6,1.94,2.12,0.01%
,,354,Genie Wild,Light & Wonder,Slot,"March, 2021",7,$3.68,$1.71,1.40,1.6,1.93,2.11,0.01%
,,355,Four Card Poker,Light & Wonder,Table Game,"March, 2021",18,$13.90,$11.98,0.86,3.7,1.93,0.76,0.04%
,,356,Mighty Black Knight,Light & Wonder,Slot,"March, 2021",21,$5.90,$4.91,0.82,1.3,1.92,2.10,0.04%
,,357,Blackjack,Light & Wonder,Table Game,"March, 2021",13,$30.39,$10.15,0.91,12.0,1.91,0.76,0.01%
,,358,10x Minimum Top Multiplier,Spinberry,Slot,"October, 2025",2,$1.43,$1.43,2.37,1.1,1.91,2.09,0.00%
,,359,Triple Wild Thanksgiving,Everi,Slot,"November, 2023",23,$3.48,$2.90,0.70,1.4,1.91,2.09,0.04%
,,360,12 Loaded Pots Drums,Games Global,Slot,"August, 2025",22,$1.30,$1.35,2.63,1.4,1.90,2.08,0.07%
,,361,Flippin Rich Luckytap™,Design Works Gaming,Instant Win,"December, 2021",22,$2.06,$1.67,2.20,1.8,1.90,3.53,0.05%
,,362,Dragon Diamond,Ags,Slot,"May, 2025",29,$1.81,$1.53,2.02,1.4,1.89,2.07,0.07%
,,363,Smokin Hot Gems,Everi,Slot,"March, 2021",16,$7.83,$6.74,0.40,1.5,1.88,2.06,0.02%
,,364,Rich Little Piggies World Class Halloween Edition,Light & Wonder,Slot,"September, 2025",27,$1.08,$1.08,3.66,1.4,1.87,2.05,0.07%
,,365,Big Catch Bass Fishing,White Hat Studios,Slot,"November, 2023",28,$1.83,$1.33,2.43,1.5,1.87,2.05,0.08%
,,366,Ultimate X Poker Ten Play,Igt,Video Poker,"August, 2021",29,$6.67,$5.08,1.24,3.2,1.87,1.31,0.09%
,,367,Thundering Leopard,Light & Wonder,Slot,"September, 2025",27,$3.36,$2.26,0.95,1.5,1.86,2.04,0.08%
,,368,Vip Blackjack,Evolution,Live Casino,"June, 2023",9,$209.46,$211.09,0.65,10.0,1.86,0.50,0.02%
,,369,Fruit Shop,Evolution,Slot,"March, 2021",24,$2.43,$1.40,1.55,1.3,1.85,2.03,0.03%
,,370,Ashoka Eternal,Light & Wonder,Slot,"October, 2025",10,$3.42,$1.84,1.23,1.2,1.85,2.02,0.02%
,,371,Red Hot Slingo,Gaming Realms,Slot,"September, 2021",26,$10.09,$5.98,0.59,1.9,1.85,2.02,0.04%
,,372,Piggy Riches Begins,Evolution,Slot,"November, 2025",24,$1.20,$1.13,2.71,1.3,1.84,2.02,0.05%
,,373,24k Gold Spartan,Reel Play,Slot,"October, 2025",14,$1.35,$1.30,2.47,1.3,1.84,2.01,0.03%
,,374,Blazin Gems Deluxe,Everi,Slot,"March, 2024",18,$16.24,$7.00,0.42,1.4,1.84,2.01,0.05%
,,375,Triple Blitz 7s,Aristocrat,Slot,"September, 2025",14,$1.39,$1.26,2.23,1.2,1.83,2.01,0.05%
,,376,Wolves Collect Em And Link,Playtech,Slot,"May, 2025",18,$1.51,$1.38,2.46,1.3,1.83,2.00,0.03%
,,377,Snow Slingers,Hacksaw Gaming,Slot,"November, 2025",2,$0.93,$0.93,3.28,1.2,1.83,2.00,0.00%
,,378,Big Win Cat Pawsperity,Play N Go,Slot,"November, 2025",7,$0.80,$0.82,3.57,1.3,1.82,2.00,0.02%
,,379,Pompeii,Aristocrat,Slot,"October, 2025",16,$1.57,$1.38,2.21,1.4,1.82,1.99,0.05%
,,380,Capital Reels,Ags,Slot,"June, 2025",29,$1.45,$1.39,2.09,1.4,1.82,1.99,0.07%
,,381,88 Fortunes Megaways,Light & Wonder,Slot,"March, 2021",24,$2.05,$1.59,4.24,1.9,1.81,1.99,0.04%
,,382,Triple Double Gems,Everi,Slot,"November, 2023",20,$7.25,$4.32,0.73,1.5,1.81,1.98,0.05%
,,383,First Person Craps,Evolution,Table Game,"November, 2021",21,$7.39,$6.50,1.76,5.1,1.81,0.72,0.05%
,,384,Lady Of Fortune Destiny Spins,Play N Go,Slot,"October, 2025",16,$1.09,$1.07,3.02,1.3,1.81,1.98,0.03%
,,385,Fu Gui Hao Men Glorious Fortunes,Igt,Slot,"November, 2025",24,$1.88,$1.86,1.45,1.1,1.81,1.98,0.09%
,,386,Scorchin Hot Spins Wicked Wheel,Everi,Slot,"August, 2025",25,$1.62,$1.69,1.66,1.2,1.79,1.96,0.08%
,,387,Big Bucks Deluxe,Evolution,Slot,"May, 2025",29,$1.42,$1.25,2.93,1.3,1.79,1.96,0.07%
,,388,Secrets Of The Phoenix Elements,Aristocrat,Slot,"June, 2024",6,$1.88,$1.76,1.34,1.1,1.79,1.95,0.01%
,,389,Megajackpots Cleopatra,Igt,Slot,"March, 2021",15,$3.21,$2.88,0.76,1.1,1.78,1.95,0.06%
,,390,Golden Catch Megaways,Evolution,Slot,"June, 2023",9,$11.98,$5.10,0.84,2.0,1.78,1.95,0.02%
,,391,Ultimate Fire Link Olvera Street,Light & Wonder,Slot,"March, 2023",30,$2.51,$2.17,1.54,1.4,1.78,1.95,0.08%
,,392,Ultimate X Poker Five Play,Igt,Video Poker,"August, 2021",28,$5.32,$4.10,1.87,3.5,1.77,1.24,0.07%
,,393,3 Crazy Tikis,1x2 Network,Slot,"March, 2025",5,$1.24,$1.46,2.59,1.7,1.77,1.94,0.01%
,,394,Pixies Of The Forest,Igt,Slot,"March, 2021",31,$2.18,$1.75,1.31,1.4,1.76,1.93,0.06%
,,395,Cops N Robbers Big Money,Inspired,Slot,"May, 2023",22,$2.10,$1.37,2.50,1.4,1.76,1.92,0.04%
,,396,Double Ruby,Everi,Slot,"March, 2021",32,$4.45,$3.30,0.56,1.2,1.72,1.89,0.07%
,,397,Shamrock Money Pot 10k Ways,Reel Play,Slot,"March, 2023",30,$1.52,$1.24,2.93,1.9,1.72,1.88,0.06%
,,398,Fortune Coin Charm,Igt,Slot,"November, 2025",29,$1.62,$1.50,1.30,1.1,1.71,1.87,0.07%
,,399,Three Card Poker,Igt,Table Game,"March, 2021",2,$20.59,$20.59,0.81,1.9,1.70,0.67,0.00%
,,400,Slingo Deal Or No Deal,Gaming Realms,Slot,"March, 2021",32,$18.92,$13.41,0.43,1.2,1.69,1.85,0.06%
,,401,Atlantic City Blackjack,Aristocrat,Table Game,"December, 2024",2,$23.85,$23.85,1.30,10.0,1.69,0.67,0.00%
,,402,Knight Fight,Light & Wonder,Slot,"November, 2025",10,$1.81,$1.79,1.36,1.0,1.68,1.84,0.01%
,,403,Golden Money,Ags,Slot,"May, 2025",29,$3.21,$2.60,0.68,1.1,1.67,1.83,0.05%
,,404,Ultimate Slot Of America,Hacksaw Gaming,Slot,"August, 2025",15,$1.76,$1.44,1.78,1.3,1.67,1.83,0.04%
,,405,Triple Turducken,High 5 Games,Slot,"November, 2024",25,$2.80,$1.36,0.73,2.0,1.67,1.83,0.02%
,,406,Megajackpots Wheel Of Fortune On Air,Igt,Slot,"March, 2021",13,$5.66,$3.44,0.58,0.8,1.67,1.82,0.03%
,,407,Vip,King Show Games,Slot,"November, 2025",12,$1.49,$1.19,1.86,1.2,1.66,1.82,0.03%
,,408,Bull Blitz Fortunes Of The Orient,Konami,Slot,"March, 2023",24,$3.68,$2.77,0.81,1.3,1.66,1.81,0.04%
,,409,American Roulette,Internal,Table Game,"July, 2021",11,$12.54,$11.98,0.22,1.6,1.65,0.65,0.03%
,,410,Witches Collect Em,Playtech,Slot,"September, 2024",13,$2.27,$1.21,3.17,1.2,1.64,1.80,0.02%
,,411,Magic Treasures Dragon,Igt,Slot,"June, 2025",28,$1.85,$1.54,1.63,1.1,1.64,1.80,0.09%
,,412,Slingshot Roulette,Evolution,Live Casino,"March, 2021",4,$29.14,$26.14,0.10,1.4,1.64,0.44,0.00%
,,413,Flaming Reels,Ags,Slot,"April, 2025",29,$1.71,$1.56,1.20,1.0,1.64,1.79,0.05%
,,414,Mermaids Jackpot Win And Spin,Inspired,Slot,"July, 2024",5,$2.10,$1.91,1.34,0.9,1.64,1.79,0.00%
,,415,Pinball Double Gold,Igt,Slot,"June, 2025",31,$4.01,$2.39,1.48,1.2,1.63,1.79,0.08%
,,416,Live Dealer Blackjack Vip,Evolution,Live Casino,"February, 2023",2,$556.27,$556.27,0.24,12.3,1.63,0.44,0.00%
,,417,Piggy Riches 2 Megaways,Evolution,Slot,"August, 2025",32,$1.14,$0.87,1.30,0.9,1.63,1.79,0.03%
